day,IS_MEMBER,COUNT,AVG_DURATION,MIN_DURATION,MAX_DURATION,STDDEV_DURATION,year_month,dayofweek,weeknum
2021-03-06,true,4133,14.415678684,1,709,18.755251633419366,2021-3,6,9
2021-03-07,false,2565,34.955945419,1,1293,66.277172210874568,2021-3,7,9
2021-03-07,true,3841,15.497787035,1,653,18.803871537344886,2021-3,7,9
2021-03-08,false,3084,35.635538262,1,1312,54.6999015529127,2021-3,1,10
2021-03-08,true,5744,14.375348189,1,856,17.851000208509991,2021-3,1,10
2021-03-09,false,3743,34.033128507,1,1387,63.539044927618875,2021-3,2,10
2021-03-09,true,6494,14.692485371,1,930,20.568195003864254,2021-3,2,10
2021-03-10,false,2173,27.4109526,1,1193,46.005882191230022,2021-3,3,10
2021-03-10,true,5127,12.763409401,1,702,16.054447146566986,2021-3,3,10
2021-03-11,false,2232,26.946684588,1,1225,57.763540730754741,2021-3,4,10
2021-03-11,true,5284,12.427895534,1,479,12.571261882619851,2021-3,4,10
2021-03-12,false,2192,24.36770073,1,947,43.723478056983168,2021-3,5,10
2021-03-12,true,4947,13.014554275,1,1208,24.065123523946372,2021-3,5,10
2021-03-13,false,6418,33.17684637,1,1387,56.06394131381515,2021-3,6,10
2021-03-13,true,6085,16.3168447,1,1236,22.681174611227398,2021-3,6,10
2021-03-14,false,2162,27.154486586,1,906,44.955669404430196,2021-3,7,10
2021-03-14,true,3122,13.019859065,1,341,13.021058791408771,2021-3,7,10
2021-03-15,false,358,15.377094972,1,187,20.568192356456834,2021-3,1,11
2021-03-15,true,1830,10.636612022,1,190,10.273562734214677,2021-3,1,11
2021-03-16,false,904,19.884955752,1,479,28.689481039976567,2021-3,2,11
2021-03-16,true,3310,12.106646526,1,1174,27.628531564814047,2021-3,2,11
2021-03-17,false,797,21.249686324,1,1063,47.342200575803133,2021-3,3,11
2021-03-17,true,2897,10.813945461,1,211,10.439838935776965,2021-3,3,11
2021-03-18,false,907,21.454244763,1,1299,71.511472400228072,2021-3,4,11
2021-03-18,true,2771,10.864308914,1,353,11.493034938329984,2021-3,4,11
2021-03-19,false,2227,23.980691513,1,860,47.532090026411439,2021-3,5,11
2021-03-19,true,4405,12.463337117,1,804,20.496345727534127,2021-3,5,11
2021-03-20,false,6500,33.629076923,1,1393,51.411636971322025,2021-3,6,11
2021-03-20,true,6135,15.526650367,1,1314,25.756572792186287,2021-3,6,11
2021-03-21,false,9148,42.266834281,1,1434,69.382674936016016,2021-3,7,11
2021-03-21,true,6918,17.872506505,1,896,24.032133587006836,2021-3,7,11
2021-03-22,false,4572,36.401574803,1,1381,65.7676799921758,2021-3,1,12
2021-03-22,true,6405,14.893832943,1,1359,26.7161381653513,2021-3,1,12
2021-03-23,false,1397,22.677165354,1,1170,39.979964574028692,2021-3,2,12
2021-03-23,true,3889,11.599897146,1,369,13.060389827749368,2021-3,2,12
