YEAR_MONTH,QUARTER,DAYOFWEEK,day,IS_MEMBER,AVG_DURATION,COUNT
2020-10,4,4,2020-10-28,true,12.151673492,7081
2020-10,4,5,2020-10-29,true,11.466940789,6080
2020-10,4,6,2020-10-30,true,12.399298674,6559
2020-10,4,7,2020-10-31,true,14.709364193,7518
2020-11,4,1,2020-11-01,true,11.995607235,3870
2020-11,4,2,2020-11-02,true,11.552092015,5999
2020-11,4,3,2020-11-03,true,13.945555556,8100
2020-11,4,4,2020-11-04,true,13.637006701,8058
2020-11,4,5,2020-11-05,true,13.073506146,8217
2020-11,4,6,2020-11-06,true,13.884917724,9541
2020-11,4,7,2020-11-07,true,17.165460282,10776
2020-11,4,1,2020-11-08,true,16.849898121,8834
2020-11,4,2,2020-11-09,true,13.590720144,8901
2020-11,4,3,2020-11-10,true,11.987757024,6371
2020-11,4,4,2020-11-11,true,11.478619188,6431
2020-11,4,5,2020-11-12,true,11.784781288,6584
2020-11,4,6,2020-11-13,true,11.840186593,5788
2020-11,4,7,2020-11-14,true,12.251272969,4517
2020-11,4,1,2020-11-15,true,10.432164948,2425
2020-11,4,2,2020-11-16,true,12.039704524,5415
2020-11,4,3,2020-11-17,true,12.002354788,5096
2020-11,4,4,2020-11-18,true,11.791922106,5546
2020-11,4,5,2020-11-19,true,12.46759115,6418
2020-11,4,6,2020-11-20,true,13.589346823,6721
2020-11,4,7,2020-11-21,true,13.415878645,5076
2020-11,4,1,2020-11-22,true,14.488715017,3323
2020-11,4,2,2020-11-23,true,11.898572029,4762
2020-11,4,3,2020-11-24,true,10.763252471,2226
2020-11,4,4,2020-11-25,true,13.345849802,2530
2020-11,4,5,2020-11-26,true,13.994889267,2348
2020-11,4,6,2020-11-27,true,14.545116013,3491
2020-11,4,7,2020-11-28,true,15.88510042,4282
2020-11,4,1,2020-11-29,true,14.219567051,3557
2020-11,4,2,2020-11-30,true,10.228553732,3229
2020-12,4,3,2020-12-01,true,10.815397127,3689
2020-12,4,4,2020-12-02,true,11.99372239,4301
2020-12,4,5,2020-12-03,true,12.30071599,4190
2020-12,4,6,2020-12-04,true,12.991854234,4665
2020-12,4,7,2020-12-05,true,12.978499761,4186
2020-12,4,1,2020-12-06,true,13.151554404,3088
2020-12,4,2,2020-12-07,true,11.299018307,3769
2020-12,4,3,2020-12-08,true,11.373381668,3862
2020-12,4,4,2020-12-09,true,13.108298999,5097
2020-12,4,5,2020-12-10,true,13.938326779,5594
2020-12,4,6,2020-12-11,true,11.510282776,3112
2020-12,4,7,2020-12-12,true,11.228541338,1899
2020-12,4,1,2020-12-13,true,14.855151515,3300
2020-12,4,2,2020-12-14,true,10.975713075,3541
2020-12,4,3,2020-12-15,true,11.138958507,3591
2020-12,4,4,2020-12-16,true,11.112330536,3098
2020-12,4,5,2020-12-17,true,11.398833282,3257
2020-12,4,6,2020-12-18,true,12.265878118,3889
2020-12,4,7,2020-12-19,true,12.569273743,3580
2020-12,4,1,2020-12-20,true,13.534288639,2931
2020-12,4,2,2020-12-21,true,12.113687783,3536
2020-12,4,3,2020-12-22,true,12.676226213,3731
2020-12,4,4,2020-12-23,true,12.65419468,3421
2020-12,4,5,2020-12-24,true,11.241276912,1347
2020-12,4,6,2020-12-25,true,12.47660312,577
2020-12,4,7,2020-12-26,true,13.419354839,1674
2020-12,4,1,2020-12-27,true,14.254749568,2316
2020-12,4,2,2020-12-28,true,13.279457769,2877
2020-12,4,3,2020-12-29,true,12.753853565,2076
2020-12,4,4,2020-12-30,true,11.789855072,1518
2020-12,4,5,2020-12-31,true,12.922169811,2120
2021-1,1,6,2021-01-01,true,12.469072165,776
2021-1,1,7,2021-01-02,true,13.027437245,1713
2021-1,1,1,2021-01-03,true,12.384441939,1774
2021-1,1,2,2021-01-04,true,14.051652108,2633
2021-1,1,3,2021-01-05,true,11.613097121,3161
2021-1,1,4,2021-01-06,true,14.758367867,3137
2021-1,1,5,2021-01-07,true,11.826804791,3089
2021-1,1,6,2021-01-08,true,12.444055944,3146
2021-1,1,7,2021-01-09,true,13.441773963,3495
2021-1,1,1,2021-01-10,true,12.353572904,2421
2021-1,1,2,2021-01-11,true,12.11997152,2809
2021-1,1,3,2021-01-12,true,11.620367669,3427
2021-1,1,4,2021-01-13,true,12.192318244,3645
2021-1,1,5,2021-01-14,true,10.879574185,3006
2021-1,1,6,2021-01-15,true,11.93934776,3281
2021-1,1,7,2021-01-16,true,14.444536768,2407
2021-1,1,1,2021-01-17,true,13.697589099,1908
2021-1,1,2,2021-01-18,true,11.90160574,2927
2021-1,1,3,2021-01-19,true,11.157158631,2717
2021-1,1,4,2021-01-20,true,12.439354276,2292
2021-1,1,5,2021-01-21,true,12.728769497,3462
2021-1,1,6,2021-01-22,true,10.65409773,2599
2021-1,1,7,2021-01-23,true,11.947678703,2714
2021-1,1,1,2021-01-24,true,12.598159509,2282
2021-1,1,2,2021-01-25,true,13.770441459,2605
2021-1,1,3,2021-01-26,true,13.726943942,1106
2021-1,1,4,2021-01-27,true,13.13975782,1982
2021-1,1,5,2021-01-28,true,12.346067416,2225
2021-1,1,6,2021-01-29,true,12.721889055,2668
2021-1,1,7,2021-01-30,true,13.670378619,1796
2021-1,1,1,2021-01-31,true,20.075675676,370
2021-2,1,2,2021-02-01,true,15.346965699,1516
2021-2,1,3,2021-02-02,true,16.496221662,1985
2021-2,1,4,2021-02-03,true,15.38084922,2308
2021-2,1,5,2021-02-04,true,13.221262458,1505
2021-2,1,6,2021-02-05,true,25.137168142,1130
2021-2,1,7,2021-02-06,true,23.712250712,702
2021-2,1,1,2021-02-07,true,33.36743215,479
2021-2,1,2,2021-02-08,true,21.230582524,824
2021-2,1,3,2021-02-09,true,12.892952721,1121
2021-2,1,4,2021-02-10,true,17.289962825,1076
2021-2,1,5,2021-02-11,true,17.805363322,1156
2021-2,1,6,2021-02-12,true,13.915106952,1496
2021-2,1,7,2021-02-13,true,18.251327434,565
2021-2,1,1,2021-02-14,true,44.679586563,387
2021-2,1,2,2021-02-15,true,51.837662338,308
2021-2,1,3,2021-02-16,true,46.321585903,227
2021-2,1,4,2021-02-17,true,47.981273408,534
2021-2,1,5,2021-02-18,true,25.3979442,681
2021-2,1,6,2021-02-19,true,26.696517413,804
2021-2,1,7,2021-02-20,true,28.621592148,917
2021-2,1,1,2021-02-21,true,23.632102273,704
2021-2,1,2,2021-02-22,true,15.816262705,1279
2021-2,1,3,2021-02-23,true,17.207820738,2276
2021-2,1,4,2021-02-24,true,12.540939076,2577
2021-2,1,5,2021-02-25,true,12.78438949,2588
