DAY,IS_MEMBER,TYPE,AVG_DURATION,COUNT
2021-01-11,false,docked_bike,36.093023256,43
2021-01-11,false,electric_bike,15.393574297,249
2021-01-11,true,electric_bike,9.856973995,846
2021-01-12,false,classic_bike,26.01242236,322
2021-01-12,true,classic_bike,11.768386835,2461
2021-01-12,false,docked_bike,36.895522388,67
2021-01-12,false,electric_bike,13.445141066,319
2021-01-12,true,electric_bike,11.243271222,966
2021-01-13,false,classic_bike,18.07977208,351
2021-01-13,true,classic_bike,12.298701299,2541
2021-01-13,false,docked_bike,50.857142857,70
2021-01-13,true,docked_bike,2,1
2021-01-13,false,electric_bike,13.831858407,339
2021-01-13,true,electric_bike,11.956482321,1103
2021-01-14,false,classic_bike,22.230125523,239
2021-01-14,true,classic_bike,11.022058824,2040
2021-01-14,false,docked_bike,30.818181818,77
2021-01-14,false,electric_bike,14.809716599,247
2021-01-14,true,electric_bike,10.578674948,966
2021-01-15,false,classic_bike,21.56851312,343
2021-01-15,true,classic_bike,12.006790403,2209
2021-01-15,false,docked_bike,46.893203883,103
2021-01-15,false,electric_bike,13.898876404,356
2021-01-15,true,electric_bike,11.800373134,1072
2021-01-16,false,classic_bike,31.448877805,401
2021-01-16,true,classic_bike,15.269704433,1624
2021-01-16,false,docked_bike,56.168316832,101
2021-01-16,false,electric_bike,16.683139535,344
2021-01-16,true,electric_bike,12.733077905,783
2021-01-17,false,classic_bike,27.032258065,248
2021-01-17,true,classic_bike,14.715299685,1268
2021-01-17,false,docked_bike,25.626373626,91
2021-01-17,false,electric_bike,14.824626866,268
2021-01-17,true,electric_bike,11.68125,640
2021-01-18,false,classic_bike,26.592982456,285
2021-01-18,true,classic_bike,12.504201681,2023
2021-01-18,false,docked_bike,44.581081081,74
2021-01-18,false,electric_bike,15.996047431,253
2021-01-18,true,electric_bike,10.553097345,904
2021-01-19,false,classic_bike,15.681528662,157
2021-01-19,true,classic_bike,11.815817985,1846
2021-01-19,false,docked_bike,30.884615385,26
2021-01-19,false,electric_bike,12.467741935,186
2021-01-19,true,electric_bike,9.76119403,871
2021-01-20,false,classic_bike,15.45890411,146
2021-01-20,true,classic_bike,13.292409241,1515
2021-01-20,false,docked_bike,320.243243243,37
2021-01-20,false,electric_bike,11.086486486,185
2021-01-20,true,electric_bike,10.776061776,777
2021-01-21,false,classic_bike,29.46130031,323
2021-01-21,true,classic_bike,13.041044776,2412
2021-01-21,false,docked_bike,37.980769231,52
2021-01-21,false,electric_bike,14.442244224,303
2021-01-21,true,electric_bike,12.011428571,1050
2021-01-22,false,classic_bike,35.886956522,230
2021-01-22,true,classic_bike,10.743485814,1727
2021-01-22,false,docked_bike,24.105263158,38
2021-01-22,false,electric_bike,11.046948357,213
2021-01-22,true,electric_bike,10.47706422,872
2021-01-23,false,classic_bike,19.122762148,391
2021-01-23,true,classic_bike,12.114397321,1792
2021-01-23,false,docked_bike,37.925531915,94
2021-01-23,false,electric_bike,15.157894737,304
2021-01-23,true,electric_bike,11.623644252,922
2021-01-24,false,classic_bike,30.161812298,309
2021-01-24,true,classic_bike,12.835186396,1529
2021-01-24,false,docked_bike,94.538461538,91
2021-01-24,false,electric_bike,14.579470199,302
2021-01-24,true,electric_bike,12.11686587,753
2021-01-25,false,classic_bike,15.697802198,182
2021-01-25,true,classic_bike,15.641918903,1751
2021-01-25,false,docked_bike,43.5,36
2021-01-25,false,electric_bike,12.386740331,181
2021-01-25,true,electric_bike,9.933255269,854
2021-01-26,false,classic_bike,20.176470588,51
2021-01-26,true,classic_bike,14.246701847,758
