station_id,dayofweek,hour,is_member,starts,ends,diff,lat,lng
TA1307000151,6,17,false,13,16,3,41.88993,-87.63427
636,6,17,false,5,10,5,41.88997,-87.63662
KA1503000044,6,17,false,8,5,-3,41.89018,-87.6262
13427,6,17,false,26,15,-11,41.89054,-87.62205
13430,6,17,false,16,16,0,41.89077,-87.63169
TA1306000013,6,17,false,28,36,8,41.89083,-87.61852
RN-,6,17,false,6,10,4,41.89102,-87.63546
TA1308000006,6,17,false,8,6,-2,41.89128,-87.67686
TA1307000117,6,17,false,40,38,-2,41.89144,-87.62675
13033,6,17,false,26,15,-11,41.8916,-87.64835
13194,6,17,false,9,11,2,41.8918,-87.65878
TA1305000003,6,17,false,25,26,1,41.89187,-87.62061
13022,6,17,false,170,188,18,41.89227,-87.61205
TA1306000029,6,17,false,39,42,3,41.89256,-87.61449
13265,6,17,false,13,15,2,41.89383,-87.64172
13045,6,17,false,20,32,12,41.89403,-87.62931
13016,6,17,false,17,17,0,41.89431,-87.62277
KA1503000041,6,17,false,18,28,10,41.89452,-87.61798
13196,6,17,false,5,20,15,41.89455,-87.65345
TA1307000062,6,17,false,10,5,-5,41.89466,-87.63839
TA1306000012,6,17,false,15,15,0,41.89475,-87.63438
KP1705001026,6,17,false,18,28,10,41.89483,-87.6323
637,6,17,false,6,3,-3,41.89563,-87.67209
13132,6,17,false,3,5,2,41.89573,-87.67718
15530,6,17,false,30,22,-8,41.89575,-87.62596
18003,6,17,false,9,9,0,41.89575,-87.62011
13247,6,17,false,13,5,-8,41.89597,-87.66775
TA1305000020,6,17,false,16,9,-7,41.89636,-87.65406
13289,6,17,false,1,8,7,41.89638,-87.661
13303,6,17,false,22,19,-3,41.89672,-87.63088
13017,6,17,false,7,12,5,41.89676,-87.6357
13338,6,17,false,17,4,-13,41.89697,-87.62173
TA1307000061,6,17,false,12,8,-4,41.89745,-87.62873
13034,6,17,false,26,25,-1,41.89754,-87.62352
TA1306000009,6,17,false,5,7,2,41.89772,-87.64299
15529,6,17,false,21,17,-4,41.89858,-87.62206
TA1307000128,6,17,false,19,18,-1,41.89896,-87.6299
657,6,17,false,2,5,3,41.89918,-87.6722
TA1306000011,6,17,false,8,5,-3,41.89994,-87.63443
KA1504000116,6,17,false,3,10,7,41.90023,-87.64299
17660,6,17,false,7,6,-1,41.90036,-87.69671
13290,6,17,false,12,9,-3,41.90069,-87.66259
13042,6,17,false,93,95,2,41.90097,-87.62377
KA1504000133,6,17,false,17,20,3,41.90234,-87.62773
13241,6,17,false,6,3,-3,41.9029,-87.68731
TA1306000006,6,17,false,3,9,6,41.90292,-87.63772
TA1307000039,6,17,false,35,29,-6,41.90294,-87.63137
TA1305000034,6,17,false,18,9,-9,41.90313,-87.67391
KA1504000135,6,17,false,32,31,-1,41.90319,-87.63439
13136,6,17,false,6,6,0,41.90326,-87.67845
13061,6,17,false,22,13,-9,41.90342,-87.66779
KA1504000079,6,17,false,9,10,1,41.9035,-87.64334
TA1307000115,6,17,false,2,5,3,41.9046,-87.64056
TA1308000049,6,17,false,37,24,-13,41.90672,-87.6349
KA1504000134,6,17,false,23,12,-11,41.90687,-87.6262
13224,6,17,false,15,17,2,41.90706,-87.66725
TA1307000143,6,17,false,20,10,-10,41.90762,-87.63854
13221,6,17,false,15,13,-2,41.90765,-87.67254
13245,6,17,false,4,7,3,41.90777,-87.68586
TA1309000024,6,17,false,27,11,-16,41.908,-87.63152
TA1305000041,6,17,false,12,31,19,41.9094,-87.67769
331,6,17,false,18,30,12,41.90965,-87.64812
TA1305000037,6,17,false,10,7,-3,41.91018,-87.67003
TA1306000008,6,17,false,11,10,-1,41.9102,-87.6435
TA1308000005,6,17,false,9,5,-4,41.91042,-87.68238
13257,6,17,false,9,5,-4,41.91054,-87.68956
13154,6,17,false,12,12,0,41.91054,-87.65312
13058,6,17,false,13,9,-4,41.91059,-87.64942
TA1307000038,6,17,false,36,23,-13,41.91138,-87.63868
LF-005,6,17,false,97,106,9,41.91172,-87.62681
13128,6,17,false,34,28,-6,41.91197,-87.63197
TA1308000050,6,17,false,68,55,-13,41.91211,-87.6347
13243,6,17,false,13,10,-3,41.91262,-87.6814
TA1306000032,6,17,false,9,15,6,41.9137,-87.65285
TA1307000166,6,17,false,12,14,2,41.91386,-87.64877
18017,6,17,false,7,1,-6,41.91416,-87.71676
18067,6,17,false,10,4,-6,41.9146,-87.66796
TA1306000007,6,17,false,8,7,-1,41.91469,-87.64333
